family_Size,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,date of reservation,booking status
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
2,0,1,Meal Plan 2,0,Room_Type 1,72,Offline,9/18/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,162,Offline,9/17/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,3,Offline,4/23/2018,Not_Canceled
2,1,3,Not Selected,0,Room_Type 1,161,Offline,10/31/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
1,2,1,Meal Plan 1,0,Room_Type 1,3,Offline,9/18/2018,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,269,Offline,12/29/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,22,Offline,10/13/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 4,135,Offline,10/30/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,256,Offline,9/14/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,270,Offline,4/20/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 5,7,Offline,9/30/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,9/17/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,6,Offline,3/15/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,4,Offline,12/16/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,18,Offline,12/30/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 4,2,Offline,9/20/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,11,Offline,2/19/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,72,Offline,9/21/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,28,Offline,2/26/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,16,Offline,11/16/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,17,Offline,3/17/2018,Not_Canceled
1,0,1,Meal Plan 2,0,Room_Type 1,62,Offline,9/21/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,265,Offline,6/24/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,174,Offline,9/22/2018,Not_Canceled
2,2,4,Meal Plan 1,0,Room_Type 1,14,Offline,7/23/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,58,Offline,1/27/2018,Not_Canceled
3,2,1,Meal Plan 1,0,Room_Type 4,61,Offline,11/21/2017,Not_Canceled
1,2,2,Meal Plan 1,0,Room_Type 1,54,Offline,10/16/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,186,Offline,4/22/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,0,Offline,8/14/2017,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 4,79,Offline,4/25/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,61,Offline,10/26/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,43,Offline,10/13/2017,Not_Canceled
3,1,1,Meal Plan 1,0,Room_Type 4,38,Offline,6/18/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,5,Offline,10/19/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,0,Offline,7/27/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,13,Offline,10/20/2017,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 1,14,Offline,5/23/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,50,Offline,1/14/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,276,Offline,9/22/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,267,Offline,10/25/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,190,Offline,6/22/2018,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,36,Offline,10/13/2017,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 1,18,Offline,12/30/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,97,Offline,12/29/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,54,Offline,10/16/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,57,Offline,9/16/2018,Not_Canceled
2,0,2,Not Selected,0,Room_Type 1,50,Offline,5/19/2018,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,150,Offline,6/16/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,15,Offline,2/18/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,27,Offline,9/30/2017,Not_Canceled
3,1,4,Meal Plan 2,0,Room_Type 1,197,Offline,12/21/2018,Not_Canceled
2,1,3,Meal Plan 2,0,Room_Type 1,34,Offline,10/19/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
1,3,5,Meal Plan 1,0,Room_Type 1,116,Offline,2/28/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,29,Offline,11/22/2018,Not_Canceled
2,0,5,Meal Plan 1,0,Room_Type 1,21,Offline,2/23/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 1,22,Offline,9/13/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,81,Offline,7/16/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,91,Offline,9/30/2018,Not_Canceled
1,0,4,Meal Plan 2,0,Room_Type 1,100,Offline,9/28/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,86,Offline,9/24/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,70,Offline,8/31/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 4,50,Offline,11/13/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,77,Offline,6/22/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,86,Offline,9/24/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 4,26,Offline,10/17/2017,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,36,Offline,10/13/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
1,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,7/30/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,276,Offline,9/22/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,135,Offline,9/14/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,0,1,Meal Plan 2,0,Room_Type 1,72,Offline,9/18/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,50,Offline,1/14/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,68,Offline,9/29/2017,Not_Canceled
2,1,5,Meal Plan 1,0,Room_Type 1,41,Offline,12/27/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,7,Offline,12/29/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,27,Offline,9/30/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,9,Offline,10/30/2017,Not_Canceled
2,2,1,Meal Plan 2,0,Room_Type 1,122,Offline,3/27/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,122,Offline,4/15/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,15,Offline,12/27/2018,Not_Canceled
1,1,1,Meal Plan 1,0,Room_Type 1,12,Offline,10/31/2017,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,41,Offline,12/27/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,270,Offline,4/20/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,8/25/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,0,Offline,12/20/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,9/30/2017,Not_Canceled
3,2,3,Meal Plan 1,0,Room_Type 1,111,Offline,5/29/2018,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,1,Offline,6/17/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
3,2,2,Meal Plan 2,0,Room_Type 6,22,Offline,12/26/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,186,Offline,4/22/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,34,Offline,10/20/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
3,1,2,Meal Plan 1,0,Room_Type 4,50,Offline,11/13/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 2,44,Offline,4/23/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,1,Offline,9/30/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,76,Offline,7/13/2018,Not_Canceled
1,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,7/30/2018,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,11,Offline,11/30/2017,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 1,6,Offline,3/20/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,7,Offline,2/19/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,84,Offline,3/30/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,39,Offline,7/23/2018,Not_Canceled
2,1,2,Not Selected,0,Room_Type 1,69,Offline,9/19/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 4,104,Offline,10/23/2018,Not_Canceled
1,2,5,Meal Plan 1,0,Room_Type 1,2,Offline,2/14/2018,Not_Canceled
2,2,3,Meal Plan 2,0,Room_Type 1,16,Offline,5/29/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,273,Offline,7/17/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,83,Offline,12/18/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,69,Offline,3/24/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,9/17/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 4,47,Offline,9/13/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,5/20/2018,Not_Canceled
1,1,2,Meal Plan 2,0,Room_Type 1,80,Offline,9/26/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,56,Offline,9/25/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,270,Offline,4/20/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,129,Offline,10/24/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,15,Offline,12/29/2017,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,53,Offline,11/14/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,8,Offline,12/26/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,56,Offline,11/14/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,73,Offline,11/24/2017,Not_Canceled
1,0,1,Meal Plan 2,0,Room_Type 1,1,Offline,6/17/2018,Not_Canceled
1,2,1,Meal Plan 2,0,Room_Type 1,122,Offline,3/27/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,1,Offline,9/22/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
2,0,2,Meal Plan 1,1,Room_Type 1,30,Offline,11/25/2018,Not_Canceled
2,2,3,Meal Plan 2,0,Room_Type 1,172,Offline,7/29/2018,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,269,Offline,12/29/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,27,Offline,12/31/2017,Not_Canceled
2,1,5,Meal Plan 1,0,Room_Type 1,27,Offline,12/22/2017,Not_Canceled
1,1,2,Meal Plan 1,0,Room_Type 1,26,Offline,10/19/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,24,Offline,12/26/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,48,Offline,9/14/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,9/17/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,336,Offline,9/21/2018,Not_Canceled
1,1,1,Meal Plan 1,0,Room_Type 1,117,Offline,2018-2-29,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,69,Offline,9/30/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 4,24,Offline,2/27/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,8/25/2018,Not_Canceled
3,0,3,Meal Plan 1,1,Room_Type 4,97,Offline,6/30/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,10/16/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,150,Offline,3/19/2018,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,101,Offline,8/22/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,49,Offline,12/30/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,5,Offline,10/19/2017,Not_Canceled
2,2,6,Meal Plan 1,0,Room_Type 1,249,Offline,10/14/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,9,Offline,1/24/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,163,Offline,8/15/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,18,Offline,9/25/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 2,44,Offline,4/23/2018,Not_Canceled
1,1,4,Meal Plan 1,0,Room_Type 1,14,Offline,12/14/2017,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,24,Offline,8/19/2018,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,359,Offline,10/14/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,40,Offline,11/26/2018,Not_Canceled
2,1,2,Not Selected,0,Room_Type 1,35,Offline,6/27/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,10/13/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,6,Offline,11/23/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,54,Offline,11/19/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,9/18/2017,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 5,103,Offline,12/27/2018,Not_Canceled
2,0,3,Not Selected,0,Room_Type 1,121,Offline,6/16/2018,Not_Canceled
1,2,2,Meal Plan 1,0,Room_Type 1,116,Offline,2/28/2018,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 1,141,Offline,9/20/2017,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,27,Offline,5/29/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,160,Offline,12/30/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,0,Offline,8/14/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,46,Offline,1/15/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,37,Offline,6/29/2018,Not_Canceled
3,2,1,Meal Plan 1,0,Room_Type 1,2,Offline,8/28/2018,Not_Canceled
1,2,2,Meal Plan 1,0,Room_Type 1,54,Offline,10/16/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,59,Offline,10/29/2017,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,3,Offline,12/19/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,151,Offline,1/19/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,32,Offline,1/25/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,292,Offline,7/21/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
3,2,1,Meal Plan 1,0,Room_Type 1,221,Offline,10/17/2017,Not_Canceled
2,0,1,Not Selected,0,Room_Type 1,14,Offline,9/27/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,7,Offline,2/24/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,87,Offline,10/23/2018,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 4,95,Offline,5/16/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 4,35,Offline,6/17/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,30,Offline,9/30/2017,Not_Canceled
2,1,1,Meal Plan 1,0,Room_Type 1,167,Offline,7/25/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,103,Offline,12/31/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,93,Offline,12/30/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,30,Offline,9/30/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,86,Offline,5/20/2018,Not_Canceled
3,0,3,Meal Plan 1,0,Room_Type 4,120,Offline,9/28/2018,Not_Canceled
2,2,5,Meal Plan 1,0,Room_Type 1,41,Offline,12/27/2018,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,11/17/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,10/13/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,120,Offline,6/18/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
3,0,2,Meal Plan 2,0,Room_Type 1,78,Offline,12/16/2018,Not_Canceled
3,1,3,Meal Plan 1,0,Room_Type 6,17,Offline,12/24/2017,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
1,2,3,Meal Plan 1,0,Room_Type 1,304,Offline,12/29/2018,Not_Canceled
1,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,7/30/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,9/17/2017,Not_Canceled
2,0,1,Meal Plan 2,0,Room_Type 1,72,Offline,9/18/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,129,Offline,5/13/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,11/20/2017,Not_Canceled
3,2,3,Meal Plan 1,0,Room_Type 1,37,Offline,6/19/2018,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 4,175,Offline,10/27/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,29,Offline,12/30/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,86,Offline,5/20/2018,Not_Canceled
2,0,3,Meal Plan 2,0,Room_Type 1,150,Offline,6/16/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,28,Offline,9/27/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,48,Offline,8/31/2018,Not_Canceled
2,2,1,Meal Plan 2,0,Room_Type 1,145,Offline,8/29/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,2/17/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,59,Offline,1/28/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,64,Offline,9/28/2018,Not_Canceled
2,2,2,Not Selected,0,Room_Type 1,73,Offline,8/19/2018,Not_Canceled
2,2,0,Meal Plan 1,0,Room_Type 1,8,Offline,9/25/2018,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,68,Offline,9/29/2017,Not_Canceled
2,1,3,Meal Plan 1,0,Room_Type 1,127,Offline,4/28/2018,Not_Canceled
2,1,4,Meal Plan 2,0,Room_Type 1,189,Offline,8/15/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,1,Offline,6/17/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 4,90,Offline,12/21/2017,Not_Canceled
2,0,4,Meal Plan 1,0,Room_Type 1,49,Offline,12/30/2017,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
2,1,4,Meal Plan 1,0,Room_Type 1,336,Offline,9/21/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 4,34,Offline,1/17/2018,Not_Canceled
2,2,1,Meal Plan 2,0,Room_Type 1,122,Offline,3/27/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,6/14/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 4,163,Offline,8/29/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 4,185,Offline,3/25/2018,Not_Canceled
3,2,1,Meal Plan 2,0,Room_Type 1,103,Offline,7/18/2017,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,9,Offline,12/16/2018,Not_Canceled
2,1,5,Meal Plan 1,0,Room_Type 1,172,Offline,7/26/2018,Not_Canceled
2,0,5,Meal Plan 1,0,Room_Type 1,140,Offline,12/29/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,50,Offline,12/31/2017,Not_Canceled
2,2,3,Meal Plan 1,0,Room_Type 1,25,Offline,11/22/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,5,Offline,6/14/2018,Not_Canceled
1,0,3,Meal Plan 1,0,Room_Type 1,276,Offline,9/22/2018,Not_Canceled
2,2,0,Meal Plan 1,0,Room_Type 1,20,Offline,10/16/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,309,Offline,5/13/2018,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,73,Offline,10/28/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,13,Offline,2/18/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
2,2,2,Not Selected,0,Room_Type 1,153,Offline,10/16/2018,Not_Canceled
1,1,0,Meal Plan 1,0,Room_Type 4,61,Offline,12/19/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,12/29/2017,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,106,Offline,2/16/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,36,Offline,8/28/2018,Not_Canceled
2,0,1,Meal Plan 1,0,Room_Type 1,4,Offline,2/13/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 4,52,Offline,11/19/2017,Not_Canceled
2,0,2,Meal Plan 1,0,Room_Type 1,42,Offline,2/26/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,177,Offline,10/30/2018,Not_Canceled
2,2,1,Meal Plan 1,0,Room_Type 1,3,Offline,2/14/2018,Not_Canceled
2,1,2,Meal Plan 1,0,Room_Type 1,31,Offline,9/16/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
2,1,0,Meal Plan 1,0,Room_Type 1,13,Offline,3/20/2018,Not_Canceled
1,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,6/24/2018,Not_Canceled
1,0,2,Meal Plan 2,0,Room_Type 1,265,Offline,6/24/2018,Not_Canceled
2,2,2,Meal Plan 1,0,Room_Type 1,27,Offline,5/29/2018,Not_Canceled
2,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,8/25/2018,Not_Canceled
2,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,8/14/2017,Not_Canceled
1,0,1,Meal Plan 1,0,Room_Type 1,4,Offline,12/16/2018,Not_Canceled
2,2,3,Not Selected,0,Room_Type 1,2,Offline,6/26/2018,Not_Canceled
